,Age,KMS,Price,Long Range,Performance,Standard
776,3,52900,426670,0,1,0
777,2,49000,459000,1,0,0
778,1,11876,555000,0,1,0
779,1,45000,499000,1,0,0
780,0,2000,549000,1,0,0
781,3,78000,388670,0,0,1
782,1,11166,483670,1,0,0
783,1,39200,476670,0,1,0
784,2,50400,399000,0,0,1
785,1,40100,489670,1,0,0
786,3,49500,396670,1,0,0
787,1,38800,469900,1,0,0
788,1,18000,481670,1,0,0
789,1,16300,511670,0,1,0
790,3,56000,399000,1,0,0
791,3,67362,379670,1,0,0
792,1,18000,521670,0,1,0
793,1,28500,411670,0,0,1
794,3,46400,439990,1,0,0
795,3,58000,459670,0,1,0
796,1,9900,410000,0,0,1
797,3,75000,389995,1,0,0
798,1,12000,439990,0,0,1
799,1,32500,390000,0,0,1
800,2,64846,431670,0,1,0
801,3,47130,369000,0,0,1
802,3,35811,395000,1,0,0
803,1,41000,470000,0,0,1
804,3,59847,366670,1,0,0
805,3,31000,399670,1,0,0
806,1,18800,491670,0,1,0
807,1,54000,484670,1,0,0
808,3,95600,406670,0,1,0
809,1,24000,510000,0,0,1
810,3,46500,399670,0,1,0
811,1,23000,499000,0,0,1
812,1,37488,439670,1,0,0
813,1,25431,549900,0,1,0
814,1,4800,524800,0,0,1
815,2,38200,489670,0,1,0
816,3,94540,369670,1,0,0
817,1,53287,454990,1,0,0
818,3,56000,399000,0,0,1
819,1,32100,479900,0,0,1
820,1,29000,499000,1,0,0
821,1,10785,424900,0,0,1
822,3,90500,379670,0,0,1
823,2,40000,425000,0,0,1
824,2,35000,445000,1,0,0
825,3,64500,381670,1,0,0
826,1,8900,511670,1,0,0
827,0,200,579000,0,1,0
828,1,20000,418000,0,0,1
829,0,1500,569670,0,1,0
830,3,59000,399000,1,0,0
831,1,14400,499990,0,0,1
832,1,62049,439990,1,0,0
833,2,65072,429670,1,0,0
834,1,13500,496670,0,1,0
835,1,41069,489000,0,0,1
836,1,37000,511670,0,1,0
837,3,27000,439000,1,0,0
838,1,11500,549900,0,1,0
839,1,48280,450000,0,0,1
840,1,15600,509000,1,0,0
841,1,12670,469000,1,0,0
842,1,24840,489670,1,0,0
843,3,46500,409000,1,0,0
844,3,70900,384990,1,0,0
845,3,95000,395000,0,1,0
846,1,47000,488000,1,0,0
847,3,57678,399000,1,0,0
848,3,49918,424900,1,0,0
849,3,85000,379990,0,1,0
850,2,30000,430000,1,0,0
851,1,33000,479900,1,0,0
852,3,50407,359670,0,0,1
853,3,48355,391670,1,0,0
854,1,47600,449000,1,0,0
855,3,100200,356670,1,0,0
856,3,34950,429900,0,1,0
857,1,24000,471670,1,0,0
858,3,76425,389670,1,0,0
859,1,22800,419900,0,0,1
860,3,32123,401670,0,1,0
861,1,33700,489900,1,0,0
862,3,125700,349900,1,0,0
863,3,56990,389900,1,0,0
864,3,57000,361670,1,0,0
865,3,62000,390000,0,1,0
866,1,20000,477000,1,0,0
867,1,7200,499000,0,0,1
868,1,39000,451670,0,0,1
